scan_id,family,split,critical_count,high_count,medium_count,low_count,provenance_failures,workflow_exposures,vulnerable_components,blast_ratio,compromised
SYN-0080,noisy_review,train,0.0,0.0,3.0,3.0,0.0,3.0,2.0,0.43568,0
SYN-0081,trusted_release,test,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17019,0
SYN-0082,dependency_takeover,train,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.31421,1
SYN-0083,workflow_compromise,train,1.0,3.0,4.0,2.0,0.0,6.0,1.0,0.67576,1
SYN-0084,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,1.0,1.0,0.71275,1
SYN-0085,noisy_review,test,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.2268,0
SYN-0086,trusted_release,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04328,0
SYN-0087,dependency_takeover,train,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.38458,1
SYN-0088,workflow_compromise,train,0.0,4.0,2.0,2.0,0.0,6.0,0.0,0.72363,1
SYN-0089,tampered_provenance,test,1.0,3.0,1.0,0.0,4.0,1.0,0.0,0.98275,1
SYN-0090,noisy_review,train,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.18206,0
SYN-0091,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19878,0
SYN-0092,dependency_takeover,train,0.0,3.0,3.0,1.0,0.0,1.0,3.0,0.89512,0
SYN-0093,workflow_compromise,test,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.59626,1
SYN-0094,tampered_provenance,train,1.0,2.0,1.0,0.0,4.0,2.0,1.0,0.64563,1
SYN-0095,noisy_review,train,0.0,2.0,3.0,3.0,0.0,1.0,1.0,0.53331,0
SYN-0096,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10891,0
SYN-0097,dependency_takeover,test,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.69628,1
SYN-0098,workflow_compromise,train,1.0,4.0,4.0,1.0,0.0,7.0,1.0,0.46266,1
SYN-0099,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,2.0,1.0,0.51293,1
SYN-0100,noisy_review,train,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.38543,0
SYN-0101,trusted_release,test,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19939,0
SYN-0102,dependency_takeover,train,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.8933,1
SYN-0103,workflow_compromise,train,1.0,4.0,4.0,2.0,0.0,3.0,1.0,0.25284,1
SYN-0104,tampered_provenance,train,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.59379,1
SYN-0105,noisy_review,test,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.17206,0
SYN-0106,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.12177,0
SYN-0107,dependency_takeover,train,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.41853,0
SYN-0108,workflow_compromise,train,0.0,5.0,3.0,2.0,0.0,5.0,1.0,0.70083,0
SYN-0109,tampered_provenance,test,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.96093,1
SYN-0110,noisy_review,train,0.0,1.0,4.0,2.0,1.0,0.0,1.0,0.49933,0
SYN-0111,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931,0
SYN-0112,dependency_takeover,train,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.42517,1
SYN-0113,workflow_compromise,test,0.0,4.0,4.0,2.0,0.0,6.0,1.0,0.79305,1
SYN-0114,tampered_provenance,train,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.54986,1
SYN-0115,noisy_review,train,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.52984,0
SYN-0116,trusted_release,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17047,0
SYN-0117,dependency_takeover,test,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.42608,1
SYN-0118,workflow_compromise,train,0.0,5.0,1.0,2.0,0.0,3.0,1.0,0.29982,1
SYN-0119,tampered_provenance,train,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.67923,1
SYN-0120,noisy_review,train,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.57896,0
SYN-0121,trusted_release,test,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18257,0
SYN-0122,dependency_takeover,train,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.3054,0
SYN-0123,workflow_compromise,train,1.0,5.0,3.0,1.0,0.0,5.0,0.0,0.79962,1
SYN-0124,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,2.0,1.0,0.51097,1
SYN-0125,noisy_review,test,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.52666,1
SYN-0126,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.05013,0
SYN-0127,dependency_takeover,train,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.84146,1
SYN-0128,workflow_compromise,train,1.0,4.0,4.0,0.0,0.0,4.0,0.0,0.67191,1
SYN-0129,tampered_provenance,test,1.0,3.0,2.0,0.0,4.0,0.0,1.0,0.95702,1
SYN-0130,noisy_review,train,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.57308,0
SYN-0131,trusted_release,train,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.07316,0
SYN-0132,dependency_takeover,train,1.0,2.0,2.0,2.0,0.0,1.0,3.0,0.33126,1
SYN-0133,workflow_compromise,test,0.0,4.0,2.0,2.0,0.0,3.0,1.0,0.74563,1
SYN-0134,tampered_provenance,train,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.6174,1
SYN-0135,noisy_review,train,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.46021,0
SYN-0136,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13806,0
SYN-0137,dependency_takeover,test,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.29541,0
SYN-0138,workflow_compromise,train,1.0,2.0,2.0,2.0,0.0,7.0,0.0,0.23035,1
SYN-0139,tampered_provenance,train,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.79319,1
SYN-0140,noisy_review,train,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.23786,1
SYN-0141,trusted_release,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297,0
SYN-0142,dependency_takeover,train,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.80925,0
SYN-0143,workflow_compromise,train,1.0,2.0,4.0,2.0,0.0,4.0,0.0,0.63635,1
SYN-0144,tampered_provenance,train,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0.71314,1
SYN-0145,noisy_review,test,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.18158,1
SYN-0146,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.19893,0
SYN-0147,dependency_takeover,train,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.57255,1
SYN-0148,workflow_compromise,train,1.0,5.0,1.0,1.0,0.0,6.0,1.0,0.59906,1
SYN-0149,tampered_provenance,test,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.91589,1
SYN-0150,noisy_review,train,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.29448,0
SYN-0151,trusted_release,train,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.01029,0
SYN-0152,dependency_takeover,train,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.88403,1
SYN-0153,workflow_compromise,test,1.0,3.0,4.0,2.0,0.0,7.0,0.0,0.5654,1
SYN-0154,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,1.0,1.0,0.50305,1
SYN-0155,noisy_review,train,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.51036,0
SYN-0156,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14432,0
SYN-0157,dependency_takeover,test,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.45408,0
SYN-0158,workflow_compromise,train,1.0,3.0,1.0,1.0,0.0,6.0,0.0,0.36995,1
SYN-0159,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.69763,1
SYN-0160,noisy_review,train,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.10425,0
SYN-0161,trusted_release,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07604,0
SYN-0162,dependency_takeover,train,1.0,1.0,3.0,2.0,0.0,0.0,4.0,0.26406,0
SYN-0163,workflow_compromise,train,1.0,5.0,4.0,2.0,0.0,6.0,1.0,0.2691,1
SYN-0164,tampered_provenance,train,1.0,4.0,1.0,0.0,4.0,0.0,1.0,0.92224,1
SYN-0165,noisy_review,test,0.0,2.0,4.0,4.0,0.0,3.0,1.0,0.51019,1
SYN-0166,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.10199,0
SYN-0167,dependency_takeover,train,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.44198,0
SYN-0168,workflow_compromise,train,0.0,3.0,4.0,1.0,0.0,7.0,1.0,0.60868,1
SYN-0169,tampered_provenance,test,1.0,4.0,2.0,0.0,4.0,2.0,1.0,0.57548,1
SYN-0170,noisy_review,train,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.35396,1
SYN-0171,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.01535,0
SYN-0172,dependency_takeover,train,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.70375,1
SYN-0173,workflow_compromise,test,0.0,5.0,1.0,1.0,0.0,3.0,0.0,0.22349,1
SYN-0174,tampered_provenance,train,1.0,4.0,0.0,0.0,4.0,1.0,1.0,0.69371,1
SYN-0175,noisy_review,train,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.15198,0
SYN-0176,trusted_release,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0163,0
SYN-0177,dependency_takeover,test,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.66919,1
SYN-0178,workflow_compromise,train,0.0,5.0,3.0,0.0,0.0,5.0,1.0,0.30816,1
SYN-0179,tampered_provenance,train,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.53858,1
SYN-0180,noisy_review,train,0.0,2.0,5.0,0.0,1.0,1.0,2.0,0.3072,1
SYN-0181,trusted_release,test,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08753,0
SYN-0182,dependency_takeover,train,1.0,3.0,2.0,2.0,0.0,1.0,2.0,0.65051,1
SYN-0183,workflow_compromise,train,1.0,3.0,3.0,2.0,0.0,7.0,1.0,0.47701,1
SYN-0184,tampered_provenance,train,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.82059,1
SYN-0185,noisy_review,test,0.0,2.0,1.0,4.0,0.0,2.0,0.0,0.51971,1
SYN-0186,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18928,0
SYN-0187,dependency_takeover,train,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.62651,1
SYN-0188,workflow_compromise,train,0.0,4.0,1.0,2.0,0.0,5.0,0.0,0.28256,1
SYN-0189,tampered_provenance,test,1.0,3.0,2.0,0.0,3.0,2.0,1.0,0.7243,1
SYN-0190,noisy_review,train,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.2307,1
SYN-0191,trusted_release,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12779,0
SYN-0192,dependency_takeover,train,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.46845,1
SYN-0193,workflow_compromise,test,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.24061,0
SYN-0194,tampered_provenance,train,1.0,4.0,0.0,0.0,4.0,1.0,0.0,0.81784,1
SYN-0195,noisy_review,train,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.50312,0
SYN-0196,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00887,0
SYN-0197,dependency_takeover,test,0.0,3.0,3.0,2.0,0.0,1.0,2.0,0.85862,1
SYN-0198,workflow_compromise,train,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.76002,1
SYN-0199,tampered_provenance,train,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.64306,1
SYN-0200,noisy_review,train,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.34186,0
SYN-0201,trusted_release,test,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09924,0
SYN-0202,dependency_takeover,train,0.0,3.0,3.0,0.0,0.0,1.0,2.0,0.65911,1
SYN-0203,workflow_compromise,train,0.0,4.0,3.0,1.0,0.0,6.0,1.0,0.29999,1
SYN-0204,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,1.0,0.0,0.53752,1
SYN-0205,noisy_review,test,0.0,1.0,5.0,1.0,0.0,1.0,2.0,0.47295,1
SYN-0206,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07657,0
SYN-0207,dependency_takeover,train,0.0,3.0,3.0,1.0,0.0,1.0,4.0,0.82231,1
SYN-0208,workflow_compromise,train,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.51065,1
SYN-0209,tampered_provenance,test,1.0,2.0,1.0,0.0,4.0,2.0,1.0,0.60729,0
SYN-0210,noisy_review,train,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.59427,0
SYN-0211,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.19351,0
SYN-0212,dependency_takeover,train,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.63157,1
SYN-0213,workflow_compromise,test,0.0,3.0,2.0,1.0,0.0,3.0,1.0,0.53241,0
SYN-0214,tampered_provenance,train,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0.9998,1
SYN-0215,noisy_review,train,0.0,2.0,4.0,3.0,0.0,1.0,1.0,0.45329,0
SYN-0216,trusted_release,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652,0
SYN-0217,dependency_takeover,test,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.492,0
SYN-0218,workflow_compromise,train,1.0,2.0,3.0,0.0,0.0,7.0,1.0,0.2751,1
SYN-0219,tampered_provenance,train,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.5856,1
SYN-0220,noisy_review,train,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.52406,0
SYN-0221,trusted_release,test,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08332,0
SYN-0222,dependency_takeover,train,1.0,3.0,2.0,1.0,0.0,0.0,4.0,0.47308,1
SYN-0223,workflow_compromise,train,0.0,3.0,4.0,1.0,0.0,6.0,1.0,0.32241,1
SYN-0224,tampered_provenance,train,1.0,4.0,1.0,0.0,4.0,0.0,1.0,0.75749,1
SYN-0225,noisy_review,test,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.17748,0
SYN-0226,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19254,0
SYN-0227,dependency_takeover,train,1.0,3.0,2.0,0.0,0.0,0.0,4.0,0.99698,1
SYN-0228,workflow_compromise,train,0.0,5.0,4.0,0.0,0.0,4.0,1.0,0.22919,1
SYN-0229,tampered_provenance,test,1.0,4.0,2.0,0.0,4.0,1.0,0.0,0.92359,1
SYN-0230,noisy_review,train,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.409,1
SYN-0231,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07727,0
SYN-0232,dependency_takeover,train,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.66837,0
SYN-0233,workflow_compromise,test,0.0,3.0,4.0,2.0,0.0,3.0,0.0,0.22335,0
SYN-0234,tampered_provenance,train,1.0,2.0,2.0,0.0,3.0,1.0,1.0,0.58125,0
SYN-0235,noisy_review,train,0.0,2.0,3.0,4.0,1.0,3.0,2.0,0.40961,1
SYN-0236,trusted_release,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11674,0
SYN-0237,dependency_takeover,test,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.68764,0
SYN-0238,workflow_compromise,train,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.31447,1
SYN-0239,tampered_provenance,train,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.70519,1
SYN-0240,noisy_review,train,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.3631,0
SYN-0241,trusted_release,test,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18242,0
SYN-0242,dependency_takeover,train,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.66856,1
SYN-0243,workflow_compromise,train,1.0,4.0,2.0,2.0,0.0,6.0,1.0,0.48788,1
SYN-0244,tampered_provenance,train,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.9773,1
SYN-0245,noisy_review,test,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.46078,0
SYN-0246,trusted_release,train,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.13923,0
SYN-0247,dependency_takeover,train,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.28937,0
SYN-0248,workflow_compromise,train,0.0,2.0,2.0,1.0,0.0,6.0,1.0,0.59032,1
SYN-0249,tampered_provenance,test,1.0,3.0,1.0,0.0,4.0,2.0,0.0,0.95397,1
SYN-0250,noisy_review,train,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.64844,1
SYN-0251,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18732,0
SYN-0252,dependency_takeover,train,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.99182,1
SYN-0253,workflow_compromise,test,1.0,3.0,4.0,1.0,0.0,4.0,0.0,0.39841,1
SYN-0254,tampered_provenance,train,1.0,2.0,2.0,0.0,4.0,1.0,0.0,0.58775,1
SYN-0255,noisy_review,train,0.0,1.0,4.0,4.0,1.0,0.0,1.0,0.46809,1
SYN-0256,trusted_release,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05216,0
SYN-0257,dependency_takeover,test,1.0,2.0,2.0,2.0,0.0,0.0,3.0,0.74026,1
SYN-0258,workflow_compromise,train,1.0,3.0,4.0,2.0,0.0,7.0,1.0,0.61417,1
SYN-0259,tampered_provenance,train,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.73909,1
SYN-0260,noisy_review,train,0.0,2.0,5.0,3.0,0.0,1.0,2.0,0.51511,0
SYN-0261,trusted_release,test,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08935,0
SYN-0262,dependency_takeover,train,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.49609,0
SYN-0263,workflow_compromise,train,0.0,3.0,4.0,0.0,0.0,7.0,1.0,0.68522,1
SYN-0264,tampered_provenance,train,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.86164,1
SYN-0265,noisy_review,test,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.28949,0
SYN-0266,trusted_release,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00635,0
SYN-0267,dependency_takeover,train,0.0,3.0,3.0,1.0,0.0,1.0,4.0,0.90222,1
SYN-0268,workflow_compromise,train,0.0,4.0,1.0,0.0,0.0,7.0,1.0,0.51731,1
SYN-0269,tampered_provenance,test,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.83675,1
SYN-0270,noisy_review,train,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.61558,0
SYN-0271,trusted_release,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619,0
